price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
217,199.0,microsoft,hd,10.6,surface,1.3,2.0,1,0,1,0,32.0
218,999.0,apple,wqxga,13.3,macbook pro,2.7,8.0,1,0,1,1,256.0
219,1298.0,asus,fhd,14.0,vivobook,1.3,8.0,1,0,1,1,1000.0
220,759.0,apple,wxga+,13.3,macbook air,1.6,8.0,1,0,1,1,256.0
221,1099.0,asus,wqhd,12.6,transformer,2.5,16.0,1,0,1,1,512.0
222,699.0,lenovo,hd,14.0,ideapad,2.5,12.0,1,0,1,1,256.0
223,1149.0,aftershock,fhd,15.6,p650rp,2.6,16.0,1,0,1,1,500.0
224,1799.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
225,439.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
226,999.0,asus,fhd,14.0,vivobook,1.8,8.0,1,0,1,1,256.0
227,849.0,acer,fhd,17.3,aspire,2.6,16.0,1,0,1,1,64.0
228,849.0,dell,fhd,13.3,inspiron,1.8,8.0,1,0,1,1,256.0
229,129.0,lenovo,hd,12.2,ideapad,1.8,2.0,1,0,1,1,64.0
230,2499.0,hp,fhd,15.6,zbook,2.9,16.0,1,0,1,1,512.0
231,699.0,aftershock,fhd,15.6,xg15-v2,2.4,8.0,1,0,1,1,512.0
232,619.0,apple,wxga+,13.3,macbook air,1.6,8.0,1,0,1,1,128.0
233,1999.0,apple,wqxga,15.4,macbook pro,2.8,16.0,1,0,1,1,256.0
234,999.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,512.0
235,1199.0,apple,wqxga,13.3,macbook pro,2.9,16.0,1,0,1,1,512.0
236,1149.0,apple,wqxga,15.4,macbook pro,2.0,8.0,1,0,1,1,256.0
237,3799.0,hp,fhd,15.6,zbook,2.6,32.0,1,0,1,1,256.0
238,1849.0,lenovo,uhd,14.0,yoga,1.8,16.0,1,0,1,1,256.0
239,799.0,lenovo,fhd,14.0,thinkpad,2.7,8.0,1,0,1,1,512.0
240,999.0,apple,wqxga,13.3,macbook pro,2.6,8.0,1,0,1,1,256.0
241,1299.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,256.0
242,199.0,microsoft,hd,10.6,surface,1.3,2.0,1,0,1,0,256.0
243,1349.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
244,949.0,apple,wqxga,13.3,macbook pro,2.7,8.0,1,0,1,1,128.0
245,999.0,apple,qhd,12.0,macbook,1.2,8.0,1,0,1,1,512.0
246,1499.0,apple,wqxga,15.4,macbook pro,2.2,16.0,1,0,1,1,256.0
247,1599.0,apple,wqxga,15.4,macbook pro,2.7,16.0,1,0,1,1,512.0
248,449.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
249,429.0,dell,fhd,10.8,latitude,0.9,4.0,1,0,1,1,128.0
250,2249.0,apple,wqxga,15.4,macbook pro,2.9,16.0,1,0,1,1,512.0
251,1399.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
252,1099.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,512.0
253,699.0,apple,wxga+,13.3,macbook air,1.8,8.0,1,0,1,1,128.0
254,1699.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,512.0
255,2668.0,apple,wqxga,15.4,macbook pro,2.3,8.0,1,0,1,1,256.0
256,399.0,apple,wqxga,13.3,macbook pro,2.8,8.0,1,0,1,1,512.0
257,2699.0,hp,fhd,15.6,zbook,2.6,32.0,1,0,1,1,1000.0
258,1449.0,apple,qhd,12.0,macbook,1.3,8.0,1,0,1,1,512.0
259,799.0,acer,fhd+,12.2,switch,2.5,8.0,1,0,1,1,512.0
260,3599.0,hp,fhd,15.6,zbook,2.4,16.0,1,0,1,1,1000.0
261,949.0,acer,fhd,15.6,nitro,2.2,8.0,1,0,1,1,512.0
262,579.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,512.0
263,649.0,apple,qhd,12.0,macbook,1.1,8.0,1,0,1,1,256.0
264,1149.0,razer,fhd,14.0,blade,2.8,16.0,1,0,1,1,512.0
265,599.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
266,749.0,hp,fhd,15.6,pavilion,2.6,8.0,1,0,1,1,256.0
267,699.0,toshiba,hd,13.3,portege,2.1,16.0,1,0,1,1,256.0
268,849.0,apple,wqxga,13.3,macbook pro,2.4,4.0,1,0,1,1,256.0
269,1399.0,apple,wqxga,13.3,macbook pro,3.0,8.0,1,0,1,1,512.0
270,1799.0,microsoft,wqhd,12.3,surface,2.5,16.0,1,0,1,1,512.0
271,549.0,apple,wxga+,13.3,macbook air,1.4,4.0,1,0,1,1,256.0
272,1448.0,asus,fhd,14.0,zenbook,1.8,16.0,1,0,1,1,512.0
273,949.0,microsoft,wqhd,13.5,surface,2.6,8.0,1,1,0,1,256.0
274,1698.0,asus,fhd,14.0,zenbook,1.8,16.0,1,0,1,1,1000.0
275,849.0,gigabyte,fhd,14.0,p34,2.6,8.0,1,0,1,1,256.0
276,1349.0,asus,fhd,15.6,vivobook,2.6,16.0,1,0,1,1,512.0
277,1598.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,1000.0
278,1099.0,asus,fhd,15.6,fx502vm-dm266t,2.8,16.0,1,0,1,1,512.0
279,699.0,lenovo,fhd,13.3,thinkpad,2.5,8.0,1,0,1,1,512.0
280,649.0,hp,fhd,14.0,pavilion,2.5,8.0,1,0,1,1,256.0
